Борщ;46,3;2,9;1,8;4,8
Гороховый суп;50,3;2,7;1,3;7,3
Рассольник;53,9;0,7;3,1;6,0
Жареный картофель;154,4;1,8;9,4;16,4
Картофельное пюре;144,9;1,9;8,7;15,3
Рис; 122,5;2,2;1,9;25,2
Тефтели;120,4;12,5;7,2;1,4
Колбаса;277,0;10,8;25,8;0,5
Сосиски;324,4;11,8;30,8;0,2
Винегрет;38,3;1,5;0,1;9,0
Сельдь под шубой;167,9;4,6;13,0;9,4
Салат "Мимоза";165,6;5,6;13,1;7,1
Кофе;337,4;3,1;17,0;45,9
Чай;12,0;0,4;0,08;2,1
Какао;69,8;2,7;2,7;8,9
Пицца;228,4;6,3;4,0;41,8
Вафли;254,9;5,9;9,9;35,8
Пончики;358,0;8,4;9,5;60,0
